214012	al ce	4	5	14	15
214025	cl sr	4	5	14	15
214026	cl sg	4	5	14	15
214027	cfi	4	5	14	15
214028	egr	4	5	14	15
214033	semana de trabajo	4	5	14	15
221000	(sin especificar)	4	5	20	15
221001	sin ce	4	5	20	15
221010	fl	4	5	20	15
222000	(sin especificar)	4	5	20	15
222001	sin ce	4	5	20	15
222003	ap-pa	4	5	20	15
222004	pa-ad	4	5	20	15
222024	al cl	4	5	20	15
222025	cl sr	4	5	20	15
222026	cl sg	4	5	20	15
222027	cfi	4	5	20	15
222028	fundaciones	4	5	20	15
223000	(sin especificar)	4	5	20	15
223001	sin ce	4	5	20	15
223010	fl	4	5	20	15
223029	administradoras	4	5	20	15
224000	(sin especificar)	4	5	20	15
231000	(sin especificar)	4	5	19	18
231001	ap-pa	4	5	19	18
231004	pa-ad	4	5	19	18
231007	o	4	5	19	18
231008	o-fl	4	5	19	18
231009	fl jóvenes	4	5	19	18
231010	fl	4	5	19	18
231016	ceagd	4	5	19	18
231059	ap	4	5	19	18
233000	(sin especificar)	4	5	19	18
233003	ap-pa	4	5	19	18
233004	pa-ad	4	5	19	18
233008	o-fl	4	5	19	18
233013	al ceagd	4	5	19	18
233016	ceagd	4	5	19	18
233020	bienio	4	5	19	18
233021	cuadrienio	4	5	19	18
233022	ei	4	5	19	18
233023	repaso	4	5	19	18
233025	cl sr	4	5	19	18
233026	cl sg	4	5	19	18
233034	en sr	4	5	19	18
233035	cel	4	5	19	18
233037	egr	4	5	19	18
234000	(sin especificar)	4	5	19	18
234003	ap-pa	4	5	19	18
234007	o	4	5	19	18
234016	ceagd	4	5	19	18
234035	cel	4	5	19	18
234059	ap	4	5	19	18
241000	(sin especificar)	4	5	14	15
241011	jóvenes	4	5	14	15
241017	1º cesg	4	5	14	15
241018	2º cesg	4	5	14	15
241035	cel	4	5	14	15
241038	abierto	4	5	14	15
241040	gr de formación	4	5	14	15
241051	profesionales jóvenes	4	5	14	15
241052	profesionales	4	5	14	15
241104	casadas jóvenes	4	5	14	15
243000	(sin especificar)	4	5	14	15
243002	ad	4	5	14	15
243011	jóvenes	4	5	14	15
243014	previa cesg	4	5	14	15
243016	cesg	4	5	14	15
243017	1º cesg	4	5	14	15
243018	2º cesg	4	5	14	15
243019	3º cesg	4	5	14	15
243027	cfi	4	5	14	15
243037	egr	4	5	14	15
243039	abierta	4	5	14	15
243043	profesoras cgi	4	5	14	15
243050	aop	4	5	14	15
243051	profesionales jóvenes	4	5	14	15
243052	profesionales	4	5	14	15
243053	en dos fines de semana	4	5	14	15
243109	externa	4	5	14	15
243113	cesg/gr	4	5	14	15
244000	(sin especificar)	4	5	14	15
244035	cel	4	5	14	15
244037	egr	4	5	14	15
251000	(sin especificar)	4	5	14	15
251011	jóvenes	4	5	14	15
251038	abierto	4	5	14	15
251041	IESE	4	5	14	15
251042	profesoras	4	5	14	15
251043	profesoras cgi	4	5	14	15
251044	profesores UIC	4	5	14	15
251045	profesoras universitarias	4	5	14	15
251049	madres cgi	4	5	14	15
251051	profesionales jóvenes	4	5	14	15
251052	profesionales	4	5	14	15
251067	cgi	4	5	14	15
251070	moda	4	5	14	15
253000	(sin especificar)	4	5	14	15
253046	cp	4	5	14	15
253047	cp jóvenes	4	5	14	15
253049	madres cgi	4	5	14	15
253054	bioética	4	5	14	15
253055	empresa	4	5	14	15
253056	agd egr	4	5	14	15
253057	n egr	4	5	14	15
254000	(sin especificar)	4	5	14	15
254037	egr	4	5	14	15
271000	(sin especificar)	4	5	14	15
271064	bachilleres	4	5	14	15
271066	universitarias	4	5	14	15
271067	cgi	4	5	14	15
271068	UIC	4	5	14	15
271082	jornadas de reflexión	4	5	14	15
271101	bach-univ	4	5	14	15
273000	(sin especificar)	4	5	14	15
273041	IESE	4	5	14	15
