258	577	112...	10	340	3	19	t	\N
259	4138	1.....	330	340	3	77	f	\N
260	5158	1.....	330	340	1	1	t	\N
261	537	......	330	340	3	25	f	\N
263	537	......	330	340	31	2	f	\N
264	541	2.....	330	340	1	1	f	\N
265	537	1.....	10	340	3	25	t	\N
266	537	2.....	330	340	31	2	t	\N
267	5123	23....	60	340	3	4	t	\N
268	5146	21....	60	340	3	4	t	\N
269	5147	24....	60	340	3	4	t	\N
270	5147	25....	60	340	3	4	t	\N
271	5148	22....	60	340	3	4	t	\N
272	5149	27....	60	340	3	4	t	\N
273	5149	28....	60	340	3	4	t	\N
274	5149	29....	60	340	3	4	t	\N
275	5150	222...	60	340	3	4	t	\N
276	5150	212...	60	340	3	4	t	\N
277	5150	233...	60	340	3	4	t	\N
278	5125	2.....	60	340	3	4	t	\N
279	5419	1.....	330	340	3	9	t	\N
280	5419	2.....	330	340	1	1	t	\N
281	5419	1.....	330	340	3	1	f	\N
282	5419	2.....	330	340	1	1	f	\N
283	587	17....	330	340	3	125	t	\N
289	4423	......	330	340	3	109	f	\N
