5	3	0	3	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
5	15	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
5	16	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
4	16	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
4	15	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
22	1	0	1	0	{}
22	5	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
22	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
22	3	0	3	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
29	1	0	1	0	{}
29	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
29	15	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
6	15	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
28	1	0	1	0	{}
28	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
28	15	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
22	33	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
37	15	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
33	15	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	1	0	1	0	{}
14	1	0	1	0	{}
14	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
14	15	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
21	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
38	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
8	2	0	2	0	[]
34	2	0	2	8	[]
24	2	0	2	8	[]
36	2	0	2	8	[]
6	2	0	2	8	[]
7	2	0	2	128	[]
5	2	0	2	8	[]
29	3	0	3	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
37	3	0	3	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
37	2	0	2	8	[]
28	3	0	3	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
33	2	0	2	8	[]
33	3	0	3	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
14	3	0	3	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
21	3	0	3	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
25	33	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
23	33	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
24	33	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
36	33	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
4	33	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
5	33	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
3	15	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
3	3	0	3	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
6	3	0	3	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	5	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	16	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	15	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	3	0	3	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
39	5	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
39	16	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
39	2	0	2	8	{}
39	3	0	3	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
39	15	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
41	2	0	2	8	{}
41	15	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
41	3	0	3	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
40	1	0	1	0	{}
40	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
40	3	0	3	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
40	15	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
29	33	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
37	33	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
10	2	0	2	8	[{"id_fase":"1","id_tarea":"","mensaje":""}]
32	15	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
34	15	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
36	15	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
25	15	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
9	37	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
8	37	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	37	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
39	37	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
3	37	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
6	37	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
10	37	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
7	37	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
32	37	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
34	37	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
23	37	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
36	37	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
25	37	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
4	37	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
5	37	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
24	37	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
9	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
9	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
38	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
8	35	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
8	36	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
39	35	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
39	36	0	2	2	[{"id_fase":"2","id_tarea":"","mensaje":""}]
3	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
3	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
6	35	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
6	36	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
10	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
10	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
7	35	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
7	36	0	2	128	[{"id_fase":"2","id_tarea":"","mensaje":""}]
32	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
34	35	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
34	36	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
23	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
23	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
24	35	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
24	36	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
25	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
25	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
36	35	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
36	36	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
4	35	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
4	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
5	35	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
5	36	0	2	0	[{"id_fase":"2","id_tarea":"","mensaje":""}]
28	33	0	2	512	[{"id_fase":"2","id_tarea":"","mensaje":""}]
22	36	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
22	35	0	2	8	[{"id_fase":"2","id_tarea":"","mensaje":""}]
32	36	0	2	1	[{"id_fase":"2","id_tarea":"","mensaje":""}]
30	33	0	2	64	[{"id_fase":"2","id_tarea":"","mensaje":""}]
