0	0	--
2	3	calendario, ok oficina
5	12	ok sacd
12	24	distribución comentario carta, catecismo...
13	19	ok profesores
16	16	ok asistentes
20	20	ok plan de estudio personal
21	22	maleta material de estudios
24	26	vsm/dagd hablar con el cl de ca/cv
25	27	vest hablar con el director de estudios del ca
1	23	preajuste des
